size,trial,adds,muls,time_seconds
71,8,4994,0,0.000142459
71,9,4994,0,0.00013325
71,10,4994,0,0.0001335
81,1,6516,0,0.000165709
81,2,6516,0,0.000170417
81,3,6516,0,0.000171583
81,4,6516,0,0.000198333
81,5,6516,0,0.062611542
81,6,6516,0,0.000134083
81,7,6516,0,0.00013275
81,8,6516,0,0.000132333
81,9,6516,0,0.000134125
81,10,6516,0,0.00013125
91,1,8232,0,0.000169458
91,2,8232,0,0.000168125
91,3,8232,0,0.000167083
91,4,8232,0,0.000197459
91,5,8232,0,0.000200083
91,6,8232,0,0.000210916
91,7,8232,0,0.000202917
91,8,8232,0,0.000212459
91,9,8232,0,0.000201875
91,10,8232,0,0.000245625
101,1,10142,0,0.000253625
101,2,10142,0,0.000256167
101,3,10142,0,0.000244041
101,4,10142,0,0.000244417
101,5,10142,0,0.000258833
101,6,10142,0,0.000243541
101,7,10142,0,0.000241875
101,8,10142,0,0.000258917
101,9,10142,0,0.000246084
101,10,10142,0,0.000253417
111,1,12246,0,0.000295541
111,2,12246,0,0.000297292
111,3,12246,0,0.000291208
111,4,12246,0,0.000302583
111,5,12246,0,0.000301083
111,6,12246,0,0.000347459
111,7,12246,0,0.000311791
111,8,12246,0,0.000300917
111,9,12246,0,0.000309417
111,10,12246,0,0.000303667
121,1,14544,0,0.000331875
121,2,14544,0,0.000334625
121,3,14544,0,0.002482792
121,4,14544,0,0.000308375
121,5,14544,0,0.000301209
121,6,14544,0,0.000313208
121,7,14544,0,0.000352
121,8,14544,0,0.000354708
121,9,14544,0,0.000335917
121,10,14544,0,0.00037425
131,1,17047,0,0.000386708
131,2,17047,0,0.000367041
131,3,17047,0,0.000386542
131,4,17047,0,0.000372125
131,5,17047,0,0.000365209
131,6,17047,0,0.000440708
131,7,17047,0,0.000466625
131,8,17047,0,0.000871708
131,9,17047,0,0.000363166
131,10,17047,0,0.000364916
141,1,19787,0,0.000490208
141,2,19787,0,0.000460125
141,3,19787,0,0.000438167
141,4,19787,0,0.000431917
141,5,19787,0,0.000431583
141,6,19787,0,0.000453833
141,7,19787,0,0.000477417
141,8,19787,0,0.000892542
141,9,19787,0,0.000432416
141,10,19787,0,0.000428334
151,1,22715,0,0.000517667
151,2,22715,0,0.000564958
151,3,22715,0,0.00052975
151,4,22715,0,0.000541083
151,5,22715,0,0.000827917
151,6,22715,0,0.000505
151,7,22715,0,0.000507292
151,8,22715,0,0.000494208
151,9,22715,0,0.000500542
151,10,22715,0,0.000715875
161,1,25829,0,0.000549292
161,2,25829,0,0.000527334
161,3,25829,0,0.000522917
161,4,25829,0,0.000694792
161,5,25829,0,0.000508167
161,6,25829,0,0.00051075
161,7,25829,0,0.000622625
161,8,25829,0,0.00050725
161,9,25829,0,0.000625334
161,10,25829,0,0.000505416
171,1,29155,0,0.000680875
171,2,29155,0,0.00057125
171,3,29155,0,0.000663708
171,4,29155,0,0.000558917
171,5,29155,0,0.000539167
171,6,29155,0,0.000643625
171,7,29155,0,0.000539333
171,8,29155,0,0.000638417
171,9,29155,0,0.000537917
171,10,29155,0,0.000633875
181,1,32665,0,0.000627458
181,2,32665,0,0.000714167
181,3,32665,0,0.0006425
181,4,32665,0,0.00061175
181,5,32665,0,0.000713084
181,6,32665,0,0.000608084
181,7,32665,0,0.000705625
181,8,32665,0,0.000608084
181,9,32665,0,0.000702667
181,10,32665,0,0.000705334
191,1,36359,0,0.000584459
191,2,36359,0,0.000676292
191,3,36359,0,0.000674625
191,4,36359,0,0.0005935
191,5,36359,0,0.00066325
191,6,36359,0,0.000669625
191,7,36359,0,0.000659041
191,8,36359,0,0.000568875
191,9,36359,0,0.000664792
191,10,36359,0,0.000660833
201,1,40283,0,0.000674375
201,2,40283,0,0.000748
201,3,40283,0,0.000766458
201,4,40283,0,0.000676625
201,5,40283,0,0.000653834
201,6,40283,0,0.000749791
201,7,40283,0,0.000754584
201,8,40283,0,0.000651
201,9,40283,0,0.000741834
201,10,40283,0,0.000742583
211,1,44395,0,0.000729667
211,2,44395,0,0.000711875
211,3,44395,0,0.000810583
211,4,44395,0,0.000851084
211,5,44395,0,0.000811292
211,6,44395,0,0.000802208
211,7,44395,0,0.000711083
211,8,44395,0,0.000805917
211,9,44395,0,0.00081425
211,10,44395,0,0.000804
221,1,48695,0,0.0008965
221,2,48695,0,0.000866375
221,3,48695,0,0.000780125
221,4,48695,0,0.000777583
221,5,48695,0,0.000875125
221,6,48695,0,0.0008695
221,7,48695,0,0.000874708
221,8,48695,0,0.000867625
221,9,48695,0,0.000864708
221,10,48695,0,0.00077625
231,1,53197,0,0.000928334
231,2,53197,0,0.000928875
231,3,53197,0,0.000921333
231,4,53197,0,0.00092875
231,5,53197,0,0.000918709
231,6,53197,0,0.000927875
231,7,53197,0,0.000920042
231,8,53197,0,0.000913292
231,9,53197,0,0.000915375
231,10,53197,0,0.000917708
241,1,57889,0,0.00101675
241,2,57889,0,0.000966209
241,3,57889,0,0.000936083
241,4,57889,0,0.000958208
241,5,57889,0,0.000936917
241,6,57889,0,0.000927708
241,7,57889,0,0.000926166
241,8,57889,0,0.000926916
241,9,57889,0,0.000935
241,10,57889,0,0.000930583
251,1,62775,0,0.001065125
251,2,62775,0,0.001042375
251,3,62775,0,0.000957708
251,4,62775,0,0.001039458
251,5,62775,0,0.001040709
251,6,62775,0,0.001040375
251,7,62775,0,0.001134541
251,8,62775,0,0.001057834
251,9,62775,0,0.001054625
251,10,62775,0,0.001038375
261,1,67890,0,0.001180084
261,2,67890,0,0.001146667
261,3,67890,0,0.001190375
261,4,67890,0,0.001145083
261,5,67890,0,0.001141666
261,6,67890,0,0.001234958
261,7,67890,0,0.001144291
261,8,67890,0,0.001130833
261,9,67890,0,0.001237542
261,10,67890,0,0.001136
271,1,73234,0,0.001260958
271,2,73234,0,0.001289084
271,3,73234,0,0.001252625
271,4,73234,0,0.001358541
271,5,73234,0,0.001269584
