size,trial,adds,muls,time_seconds
261,3,34406,0,0.001575625
261,4,34406,0,0.001384791
261,5,34406,0,0.001341417
261,6,34406,0,0.002263625
261,7,34406,0,0.001824791
261,8,34406,0,0.001464125
261,9,34406,0,0.001380625
261,10,34406,0,0.001697792
271,1,37125,0,0.001558792
271,2,37125,0,0.016776625
271,3,37125,0,0.075048209
271,4,37125,0,0.001648
271,5,37125,0,0.001732208
271,6,37125,0,0.001676167
271,7,37125,0,0.001868917
271,8,37125,0,0.001525625
271,9,37125,0,0.001615458
271,10,37125,0,0.0014815
281,1,40027,0,0.001730583
281,2,40027,0,0.002669
281,3,40027,0,0.001681167
281,4,40027,0,0.001706541
281,5,40027,0,0.0017255
281,6,40027,0,0.001564333
281,7,40027,0,0.002676875
281,8,40027,0,0.001593417
281,9,40027,0,0.00155875
281,10,40027,0,0.001542042
291,1,42932,0,0.001694875
291,2,42932,0,0.002827792
291,3,42932,0,0.001602875
291,4,42932,0,0.001713166
291,5,42932,0,0.001904625
291,6,42932,0,0.003054916
291,7,42932,0,0.0017235
291,8,42932,0,0.001721875
291,9,42932,0,0.001727708
291,10,42932,0,0.001975667
301,1,45998,0,0.001739875
301,2,45998,0,0.001776625
301,3,45998,0,0.001747625
301,4,45998,0,0.001760041
301,5,45998,0,0.001721125
301,6,45998,0,0.002493166
301,7,45998,0,0.0018495
301,8,45998,0,0.002149875
301,9,45998,0,0.002043917
301,10,45998,0,0.001753417
311,1,49028,0,0.002135292
311,2,49028,0,0.002126917
311,3,49028,0,0.002008375
311,4,49028,0,0.001882917
311,5,49028,0,0.002045625
311,6,49028,0,0.002025833
311,7,49028,0,0.001960083
311,8,49028,0,0.001884167
311,9,49028,0,0.001922
311,10,49028,0,0.001860625
321,1,52000,0,0.002224375
321,2,52000,0,0.0019385
321,3,52000,0,0.002069041
321,4,52000,0,0.002150458
321,5,52000,0,0.00194125
321,6,52000,0,0.001937875
321,7,52000,0,0.001965791
321,8,52000,0,0.0019295
321,9,52000,0,0.001917542
321,10,52000,0,0.001975208
331,1,55591,0,0.001998334
331,2,55591,0,0.007706709
331,3,55591,0,0.067815167
331,4,55591,0,0.002753167
331,5,55591,0,0.002321834
331,6,55591,0,0.002976875
331,7,55591,0,0.002018667
331,8,55591,0,0.002032
331,9,55591,0,0.002064583
331,10,55591,0,0.002016583
341,1,59012,0,0.002355334
341,2,59012,0,0.002350042
341,3,59012,0,0.003017875
341,4,59012,0,0.002171083
341,5,59012,0,0.002206709
341,6,59012,0,0.002971458
341,7,59012,0,0.002073416
341,8,59012,0,0.0024055
341,9,59012,0,0.002094167
341,10,59012,0,0.002123125
351,1,62241,0,0.00248175
351,2,62241,0,0.002398042
351,3,62241,0,0.003478
351,4,62241,0,0.002357083
351,5,62241,0,0.003125458
351,6,62241,0,0.002738167
351,7,62241,0,0.002804
351,8,62241,0,0.002238167
351,9,62241,0,0.002825417
351,10,62241,0,0.002599334
361,1,65984,0,0.002690708
361,2,65984,0,0.00276175
361,3,65984,0,0.002773292
361,4,65984,0,0.002947083
361,5,65984,0,0.002605291
361,6,65984,0,0.002727291
361,7,65984,0,0.002506834
361,8,65984,0,0.002432167
361,9,65984,0,0.002615375
361,10,65984,0,0.002423084
371,1,69630,0,0.002565291
371,2,69630,0,0.002589667
371,3,69630,0,0.0024385
371,4,69630,0,0.002553792
371,5,69630,0,0.075895958
371,6,69630,0,0.002450333
371,7,69630,0,0.002750917
371,8,69630,0,0.004057291
371,9,69630,0,0.002561375
371,10,69630,0,0.0025565
381,1,73206,0,0.003239917
381,2,73206,0,0.002494958
381,3,73206,0,0.003646917
381,4,73206,0,0.003078625
381,5,73206,0,0.00252475
381,6,73206,0,0.003307708
381,7,73206,0,0.002640708
381,8,73206,0,0.002617083
381,9,73206,0,0.003269
381,10,73206,0,0.0025135
391,1,77173,0,0.004349708
391,2,77173,0,0.002804417
391,3,77173,0,0.002621542
391,4,77173,0,0.003183959
391,5,77173,0,0.003331667
391,6,77173,0,0.002664584
391,7,77173,0,0.0032285
391,8,77173,0,0.003147333
391,9,77173,0,0.003139916
391,10,77173,0,0.002865167
401,1,81183,0,0.002888792
